id,error
0,0.803728
1,5.280358
2,1.593505
3,2.562570
4,4.949234
5,0.596307
6,1.492462
7,2.770732
8,2.067314
9,1.521379
10,4.073400
11,3.466582
12,2.045761
13,5.185614
14,4.948623
15,2.664863
16,4.473437
17,2.473310
18,1.131670
19,5.060851
20,1.671673
21,3.019103
22,5.320344
23,2.396536
24,2.578243
25,3.915915
26,3.599540
27,3.894060
28,3.282969
29,4.833559
30,5.171801
31,2.219216
32,2.067214
33,5.110591
34,3.654279
35,0.765249
36,4.091001
37,1.857403
38,2.128871
39,3.197554
40,3.030512
41,1.169399
42,4.732937
43,4.916689
44,5.227130
45,1.995933
46,1.137694
47,1.898086
48,1.496030
49,3.818341
50,1.153677
51,5.001642
52,4.064263
53,0.977917
54,0.608865
55,1.473979
56,4.960955
57,2.763521
58,1.905953
59,4.930309
60,4.541886
61,0.790304
62,2.421591
63,4.359412
64,2.333564
65,5.410133
66,4.630986
67,0.592513
68,4.859006
69,2.255296
70,1.227115
71,1.848848
72,2.576535
73,4.511500
74,4.656056
75,1.364506
76,4.438465
77,1.510017
78,3.959260
79,1.530154
80,4.022398
81,0.759003
82,3.184412
83,1.869969
84,1.270738
85,4.629416
86,3.032007
87,1.225724
88,1.744263
89,3.476835
90,2.127355
91,4.583601
92,2.292040
93,0.549007
94,4.788138
95,5.235521
96,4.658479
97,2.364243
98,3.580642
99,4.042391
100,2.855805
101,1.886655
102,4.955007
103,1.163908
104,5.102845
105,5.145573
106,1.533711
107,3.877132
108,2.555723
109,2.493047
110,3.177585
111,4.115093
112,4.838777
113,2.299479
114,5.396453
115,5.370150
116,2.274407
117,1.051508
118,3.869398
119,1.217041
120,2.978974
121,4.884099
122,5.065284
123,5.287959
124,4.038520
125,2.987061
126,2.713035
127,2.935733
128,1.979356
129,1.293112
130,5.080378
131,3.304237
132,5.544836
133,1.966557
134,3.265718
135,0.973148
136,4.693766
137,4.200436
138,3.431690
139,3.149286
140,2.326876
141,2.280517
142,5.191068
143,5.095190
144,3.826718
145,2.467564
146,5.245119
147,0.801387
148,3.943772
149,2.227347
150,2.425178
151,4.176425
152,4.287581
153,5.441813
154,1.781823
155,4.632419
156,5.548472
157,3.751314
158,1.831412
159,3.633511
160,5.076820
161,4.786521
162,3.672213
163,3.777348
164,0.669262
165,0.533687
166,4.075609
167,4.271388
168,2.308270
169,2.388029
170,1.174447
171,4.249221
172,3.220836
173,2.298742
174,2.845526
175,3.405565
176,1.235690
177,4.001798
178,4.081312
179,1.889906
180,1.160059
181,3.488242
182,4.084630
183,2.469061
184,1.652770
185,1.683855
186,2.579086
187,1.228180
188,3.041014
189,5.411531
190,5.058208
191,0.530538
192,5.054251
193,4.935880
194,5.683576
195,1.811773
196,2.952700
197,4.000642
198,2.199621
199,5.246061
200,2.694591
201,2.329989
202,2.583023
203,1.542029
204,0.746472
205,4.301316
206,5.498004
207,2.330909
208,5.393600
209,2.395358
210,3.452999
211,5.410705
212,2.661048
213,2.778804
214,1.088729
215,1.992262
216,2.978190
217,4.837833
218,3.656461
