id,error
0,0.983384
1,5.389257
2,1.730801
3,2.723937
4,5.069858
5,0.681723
6,1.483146
7,2.789022
8,2.085604
9,1.630278
10,4.132694
11,3.904877
12,1.969516
13,5.178975
14,5.128279
15,2.802159
16,4.652166
17,2.481267
18,1.132411
19,5.317897
20,1.826270
21,3.012464
22,5.267868
23,2.387220
24,2.591868
25,3.924842
26,3.771048
27,4.073716
28,3.462625
29,5.099736
30,5.002259
31,2.268288
32,1.864315
33,5.290247
34,3.703351
35,1.031426
36,4.252368
37,1.850764
38,2.137798
39,3.247838
40,3.096243
41,1.162760
42,4.586087
43,5.155081
44,5.286424
45,2.016707
46,1.274990
47,2.018710
48,1.516804
49,3.877635
50,1.147038
51,5.010569
52,4.073190
53,0.861450
54,0.617792
55,1.482906
56,4.979245
57,2.781811
58,2.036157
59,4.943934
60,4.713394
61,0.744576
62,2.507007
63,4.352773
64,2.354338
65,5.140436
66,4.869378
67,0.701412
68,4.918300
69,2.248657
70,1.174639
71,1.980623
72,2.524059
73,4.648796
74,4.922233
75,1.501802
76,4.547364
77,1.689673
78,4.120627
79,1.523515
80,4.043172
81,0.896299
82,3.250143
83,1.860653
84,1.408034
85,4.688710
86,2.960023
87,1.179996
88,1.737624
89,3.467519
90,2.236254
91,4.692500
92,2.530432
93,0.686303
94,4.873554
95,5.231370
96,4.896871
97,2.318515
98,3.666058
99,3.966146
100,2.876579
101,2.152832
102,4.945691
103,1.294112
104,4.682958
105,5.167350
106,1.532727
107,4.115524
108,2.219253
109,2.486408
110,3.286484
111,4.135867
112,4.859551
113,2.308406
114,5.387137
115,5.424134
116,2.288032
117,1.119646
118,4.135575
119,1.164565
120,2.972335
121,4.992998
122,5.058645
123,4.868292
124,3.457348
125,3.032428
126,2.843239
127,3.115389
128,2.245533
129,1.293853
130,5.318770
131,3.413136
132,5.558826
133,1.975484
134,3.504110
135,1.032442
136,4.702693
137,4.379165
138,3.357291
139,3.269784
140,2.422158
141,2.281258
142,5.457245
143,5.042714
